Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: Z:\POISSONSUPERFISH\SF7.EXE
SF.INI file: Z:\tmp\psf\e9be9084-f82c-4f01-8db9-825e5981f989\SF.INI 11-05-2020   2:53:34
Solution file Z:\TMP\PSF\E9BE9084-F82C-4F01-8DB9-825E5981F989\SWIFEL_7.000_9.170_36.000_5.531_9.819_30.000_2.000_5469.T35.
Memory used for SWIFEL_7.000_9.170_36.000_5.531_9.819_30.000_2.000_5469.T35 arrays:       8.857 M
Reading keyword commands and data from file:
SWIFEL_7.000_9.170_36.000_5.531_9.819_30.000_2.000_5469.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (50,0.0)
(Zmax,Rmax) = (70,3)
Z and R increments:    99    19
EZERO computed by SFO =    0.79521E+07 MV/m
Interpolated fields normalized to E0 =    0.79521E+07 MV/m

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   57.0707      0.157895      1.157042E+01  5.207605E-01  1.158213E+01  8.924712E+01
   57.2727      0.157895      1.031192E+01  4.850000E-01  1.032332E+01  7.953782E+01
   57.4747      0.157895      9.077137E+00  4.676971E-01  9.089178E+00  7.009410E+01
   57.6768      0.157895      7.890240E+00  4.474998E-01  7.902920E+00  6.094413E+01
   57.8788      0.157895      6.764445E+00  4.208405E-01  6.777523E+00  5.230803E+01
   58.0808      0.157895      5.715167E+00  3.888907E-01  5.728383E+00  4.421057E+01
   58.2828      0.157895      4.760135E+00  3.530684E-01  4.773211E+00  3.684718E+01
   58.4848      0.157895      3.902140E+00  3.142553E-01  3.914774E+00  3.022018E+01
   58.6869      0.157895      3.147245E+00  2.743692E-01  3.159182E+00  2.440189E+01
   58.8889      0.157895      2.498870E+00  2.351768E-01  2.509912E+00  1.938904E+01
   59.0909      0.157895      1.952154E+00  1.975011E-01  1.962120E+00  1.516645E+01
   59.2929      0.157895      1.499627E+00  1.625831E-01  1.508415E+00  1.164493E+01
   59.4949      0.157895      1.133407E+00  1.310736E-01  1.140961E+00  8.816131E+00
   59.6970      0.157895      8.414704E-01  1.040619E-01  8.478805E-01  6.537654E+00
   59.8990      0.157895      6.160565E-01  8.056422E-02  6.213021E-01  4.796051E+00
   60.1010      0.157895      4.424726E-01  6.115887E-02  4.466793E-01  3.435665E+00
   60.3030      0.157895      3.144973E-01  4.542593E-02  3.177610E-01  2.448345E+00
   60.5051      0.157895      2.203445E-01  3.339655E-02  2.228610E-01  1.702546E+00
   60.7071      0.157895      1.535053E-01  2.383359E-02  1.553445E-01  1.189159E+00
   60.9091      0.157895      1.051525E-01  1.670119E-02  1.064706E-01  8.101687E-01
   61.1111      0.157895      7.281616E-02  1.149123E-02  7.371731E-02  5.628943E-01
   61.3131      0.157895      5.064964E-02  7.905869E-03  5.126294E-02  3.848673E-01
   61.5152      0.157895      3.585264E-02  5.298191E-03  3.624200E-02  2.735441E-01
   61.7172      0.157895      2.544205E-02  3.530684E-03  2.568587E-02  1.933084E-01
   61.9192      0.157895      1.886379E-02  2.364077E-03  1.901135E-02  1.440967E-01
   62.1212      0.157895      1.435844E-02  1.631076E-03  1.445079E-02  1.080617E-01
   62.3232      0.157895      1.121337E-02  1.134899E-03  1.127065E-02  8.507608E-02
   62.5253      0.157895      8.829917E-03  8.173678E-04  8.867667E-03  6.720592E-02
   62.7273      0.157895      7.139038E-03  6.152176E-04  7.165498E-03  5.466295E-02
   62.9293      0.157895      5.809065E-03  4.847597E-04  5.829256E-03  4.433153E-02
   63.1313      0.157895      4.731671E-03  3.902900E-04  4.747740E-03  3.631685E-02
   63.3333      0.157895      3.831619E-03  3.202738E-04  3.844981E-03  2.949506E-02
   63.5354      0.157895      3.098451E-03  2.660082E-04  3.109849E-03  2.392280E-02
   63.7374      0.157895      2.485527E-03  2.216168E-04  2.495388E-03  1.918667E-02
   63.9394      0.157895      1.978075E-03  1.835965E-04  1.986577E-03  1.530566E-02
   64.1414      0.157895      1.558310E-03  1.505216E-04  1.565563E-03  1.205859E-02
   64.3434      0.157895      1.218500E-03  1.225692E-04  1.224649E-03  9.443846E-03
   64.5455      0.157895      9.434858E-04  9.877048E-05  9.486417E-04  7.299969E-03
   64.7475      0.157895      7.253896E-04  7.872253E-05  7.296488E-04  5.621117E-03
   64.9495      0.157895      5.517814E-04  6.171077E-05  5.552216E-04  4.268640E-03
   65.1515      0.157895      4.178113E-04  4.814343E-05  4.205758E-04  3.237905E-03
   65.3535      0.157895      3.139271E-04  3.716727E-05  3.161196E-04  2.421762E-03
   65.5556      0.157895      2.349775E-04  2.844274E-05  2.366926E-04  1.816577E-03
   65.7576      0.157895      1.741308E-04  2.138313E-05  1.754388E-04  1.342846E-03
   65.9596      0.157895      1.292529E-04  1.610335E-05  1.302522E-04  9.993699E-04
   66.1616      0.157895      9.559772E-05  1.202558E-05  9.635112E-05  7.336256E-04
   66.3636      0.157895      7.076474E-05  8.941701E-06  7.132744E-05  5.448330E-04
   66.5657      0.157895      5.241056E-05  6.556504E-06  5.281908E-05  4.047100E-04
   66.7677      0.157895      3.855908E-05  4.825876E-06  3.885990E-05  2.972129E-04
   66.9697      0.157895      2.868637E-05  3.521299E-06  2.890169E-05  2.217836E-04
   67.1717      0.157895      2.140149E-05  2.612369E-06  2.156034E-05  1.641942E-04
   67.3737      0.157895      1.606691E-05  1.907377E-06  1.617973E-05  1.237155E-04
   67.5758      0.157895      1.202360E-05  1.406971E-06  1.210564E-05  9.249992E-05
   67.7778      0.157895      9.127461E-06  1.036388E-06  9.186111E-06  7.045059E-05
   67.9798      0.157895      6.959415E-06  7.800776E-07  7.002997E-06  5.336613E-05
   68.1818      0.157895      5.337113E-06  5.817754E-07  5.368727E-06  4.108314E-05
   68.3838      0.157895      4.081203E-06  4.396532E-07  4.104816E-06  3.141444E-05
   68.5859      0.157895      3.153651E-06  3.331173E-07  3.171196E-06  2.435006E-05
   68.7879      0.157895      2.439937E-06  2.572841E-07  2.453464E-06  1.875190E-05
   68.9899      0.157895      1.891192E-06  1.973000E-07  1.901456E-06  1.458419E-05
   69.1919      0.157895      1.458355E-06  1.526378E-07  1.466321E-06  1.124653E-05
   69.3939      0.157895      1.129988E-06  1.180592E-07  1.136139E-06  8.737693E-06
   69.5960      0.157895      8.734906E-07  9.239788E-08  8.783640E-07  6.729556E-06
   69.7980      0.157895      6.744904E-07  7.158622E-08  6.782786E-07  5.211490E-06
   70.0000      0.157895      5.172124E-07  5.560349E-08  5.201926E-07  3.994474E-06
   50.0000      0.315789      3.033099E+01  0.000000E+00  3.033099E+01  4.677152E+02
   50.2020      0.315789      3.028129E+01  7.386518E-02  3.028138E+01  4.669774E+02
   50.4040      0.315789      3.013936E+01  1.391260E-01  3.013968E+01  4.648580E+02
   50.6061      0.315789      2.992239E+01  1.897206E-01  2.992299E+01  4.615913E+02
   50.8081      0.315789      2.964923E+01  2.274451E-01  2.965010E+01  4.574501E+02
   51.0101      0.315789      2.933628E+01  2.538853E-01  2.933738E+01  4.526798E+02
   51.2121      0.315789      2.899631E+01  2.716069E-01  2.899758E+01  4.474779E+02
   51.4141      0.315789      2.863881E+01  2.828502E-01  2.864021E+01  4.419934E+02
   51.6162      0.315789      2.827072E+01  2.893725E-01  2.827220E+01  4.363362E+02
   51.8182      0.315789      2.789705E+01  2.925125E-01  2.789858E+01  4.305856E+02
   52.0202      0.315789      2.752137E+01  2.931439E-01  2.752293E+01  4.247982E+02
   52.2222      0.315789      2.714620E+01  2.922543E-01  2.714777E+01  4.190159E+02
   52.4242      0.315789      2.677305E+01  2.904187E-01  2.677462E+01  4.132609E+02
   52.6263      0.315789      2.640284E+01  2.880834E-01  2.640441E+01  4.075481E+02
